ds,yhat,yhat_lower,yhat_upper
2025-07-03,30.557989987525357,25.088395302870072,35.67996093049275
2025-07-04,27.28517165398091,22.07335551077684,32.73884323832148
2025-07-05,30.98576185168421,25.657754644194714,36.42107638936627
2025-07-06,29.081647711442535,23.63193445291342,34.55893144730563
2025-07-07,32.50506503610887,26.92716074562388,37.8919095717624
2025-07-08,23.83658598740128,18.842983829371978,29.428484909247118
2025-07-09,29.189109541066447,23.824698611873927,34.31141785469901
2025-07-10,30.551491408518,25.09988499071048,35.92276068559699
2025-07-11,27.278673074552195,22.013725591109615,32.73357760593086
2025-07-12,30.979263273111794,25.349714380400204,36.59679573566906
2025-07-13,29.07514913380439,23.76547424845332,34.67341375079179
2025-07-14,32.49856645884442,27.176020634392604,38.084692168085155
2025-07-15,23.83008741037729,18.209279753873947,29.427713300562708
2025-07-16,29.182610964163302,23.30927000399076,34.53941098880363
2025-07-17,30.544992831077135,24.753537628422148,35.94231253537824
2025-07-18,27.27217449639311,22.10325665339278,32.72543042412078
2025-07-19,30.97276469477578,25.40093192960741,36.591725128329486
2025-07-20,29.068650556285856,23.472744699751004,34.690508550238384
2025-07-21,32.492067883027566,27.192565565613087,37.80480742684417
2025-07-22,23.823588837719587,18.66139526837907,29.37821630734189
2025-07-23,29.17611239476774,23.86988037369229,34.287493340431986
2025-07-24,30.538494265357752,25.201431065078296,36.14715294606698
2025-07-25,27.26567593452023,21.91199272914486,32.59912733726489
2025-07-26,30.966266135854312,25.32207981202518,36.391927261712254
2025-07-27,29.062152001178745,23.40192718617102,34.73417112763677
2025-07-28,32.48556933118202,27.113128631855847,37.95776432831182
2025-07-29,23.817090288309597,18.44601676584318,29.36159872783493
2025-07-30,29.169613847368115,24.006511530012904,34.14992323961657
2025-07-31,30.531995720089277,25.213042765521056,35.49368720862799
2025-08-01,27.25917739038201,21.969497243205183,32.999662265029045
2025-08-02,30.959767592655993,25.293653348486092,35.769505911793075
2025-08-03,29.055653457979748,23.91835545917629,34.596741577444135
2025-08-04,32.47907078797905,27.181158878902536,37.88013909273509
2025-08-05,23.810591745108397,18.111150012939103,29.221598992541516
2025-08-06,29.16311530418203,23.37924170666048,34.82383835861379
2025-08-07,30.525497176870253,24.962866847478086,36.30686695579139
2025-08-08,27.252678847181972,21.966542381217312,32.7137290727631
